run_id,sequence_number,created_at,send_started_at,send_returned_at,acknowledgement_at,creation_to_send_us,send_call_us,acknowledgement_us,total_us,topic,partition,offset,key_size,payload_size,compression_type,success,error_class,error_message
d229b39c-0397-4fa8-be4a-3f4b635ce534,1,2026-07-15T11:58:46.851914Z,2026-07-15T11:58:46.851914Z,2026-07-15T11:58:47.804130700Z,2026-07-15T11:58:47.936521Z,406,951429,132710,1084547,producer-test-fixed,0,0,1,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,2,2026-07-15T11:58:47.804130700Z,2026-07-15T11:58:47.804130700Z,2026-07-15T11:58:47.804130700Z,2026-07-15T11:58:47.940187Z,171,282,133786,134240,producer-test-fixed,0,1,1,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,3,2026-07-15T11:58:47.804130700Z,2026-07-15T11:58:47.804130700Z,2026-07-15T11:58:47.804130700Z,2026-07-15T11:58:47.940187Z,113,217,133508,133838,producer-test-fixed,0,2,1,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,4,2026-07-15T11:58:47.804130700Z,2026-07-15T11:58:47.804130700Z,2026-07-15T11:58:47.813725Z,2026-07-15T11:58:47.942232500Z,58,7219,128831,136110,producer-test-fixed,0,3,1,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,5,2026-07-15T11:58:47.813725Z,2026-07-15T11:58:47.813725Z,2026-07-15T11:58:47.813725Z,2026-07-15T11:58:47.942232500Z,103,345,128419,128868,producer-test-fixed,0,4,1,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,6,2026-07-15T11:58:47.813725Z,2026-07-15T11:58:47.813725Z,2026-07-15T11:58:47.813725Z,2026-07-15T11:58:47.942232500Z,86,378,128004,128469,producer-test-fixed,0,5,1,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,7,2026-07-15T11:58:47.813725Z,2026-07-15T11:58:47.813725Z,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.943019200Z,61,891,127095,128047,producer-test-fixed,0,6,1,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,8,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.943019200Z,114,393,126577,127085,producer-test-fixed,0,7,1,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,9,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.943019200Z,175,397,125997,126570,producer-test-fixed,0,8,1,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,10,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.943019200Z,79,329,125528,125937,producer-test-fixed,0,9,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,11,2026-07-15T11:58:47.815773300Z,2026-07-15T11:58:47.817579200Z,2026-07-15T11:58:47.818020900Z,2026-07-15T11:58:47.943019200Z,61,957,124508,125527,producer-test-fixed,0,10,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,12,2026-07-15T11:58:47.818596400Z,2026-07-15T11:58:47.818596400Z,2026-07-15T11:58:47.818596400Z,2026-07-15T11:58:47.943019200Z,238,329,123929,124496,producer-test-fixed,0,11,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,13,2026-07-15T11:58:47.818596400Z,2026-07-15T11:58:47.818596400Z,2026-07-15T11:58:47.819599500Z,2026-07-15T11:58:47.943019200Z,83,506,123326,123916,producer-test-fixed,0,12,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,14,2026-07-15T11:58:47.819599500Z,2026-07-15T11:58:47.819599500Z,2026-07-15T11:58:47.819599500Z,2026-07-15T11:58:47.943019200Z,87,305,122923,123315,producer-test-fixed,0,13,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,15,2026-07-15T11:58:47.819599500Z,2026-07-15T11:58:47.819599500Z,2026-07-15T11:58:47.820423500Z,2026-07-15T11:58:47.943019200Z,108,332,122477,122918,producer-test-fixed,0,14,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,16,2026-07-15T11:58:47.820423500Z,2026-07-15T11:58:47.820423500Z,2026-07-15T11:58:47.820423500Z,2026-07-15T11:58:47.943019200Z,111,389,121970,122471,producer-test-fixed,0,15,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,17,2026-07-15T11:58:47.820423500Z,2026-07-15T11:58:47.820423500Z,2026-07-15T11:58:47.821444200Z,2026-07-15T11:58:48.001116700Z,97,347,179721,180166,producer-test-fixed,0,16,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,18,2026-07-15T11:58:47.821444200Z,2026-07-15T11:58:47.821444200Z,2026-07-15T11:58:47.821444200Z,2026-07-15T11:58:48.001116700Z,87,309,179382,179779,producer-test-fixed,0,17,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,19,2026-07-15T11:58:47.821444200Z,2026-07-15T11:58:47.821444200Z,2026-07-15T11:58:47.821444200Z,2026-07-15T11:58:48.001116700Z,83,257,179053,179394,producer-test-fixed,0,18,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,20,2026-07-15T11:58:47.821444200Z,2026-07-15T11:58:47.822451600Z,2026-07-15T11:58:47.822451600Z,2026-07-15T11:58:48.001116700Z,89,210,178754,179053,producer-test-fixed,0,19,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,21,2026-07-15T11:58:47.822451600Z,2026-07-15T11:58:47.822451600Z,2026-07-15T11:58:47.822451600Z,2026-07-15T11:58:48.001116700Z,170,302,178280,178753,producer-test-fixed,0,20,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,22,2026-07-15T11:58:47.822451600Z,2026-07-15T11:58:47.822451600Z,2026-07-15T11:58:47.823471800Z,2026-07-15T11:58:48.001116700Z,83,278,177917,178278,producer-test-fixed,0,21,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,23,2026-07-15T11:58:47.823471800Z,2026-07-15T11:58:47.823471800Z,2026-07-15T11:58:47.823471800Z,2026-07-15T11:58:48.001116700Z,108,379,177426,177914,producer-test-fixed,0,22,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,24,2026-07-15T11:58:47.823471800Z,2026-07-15T11:58:47.823471800Z,2026-07-15T11:58:47.823471800Z,2026-07-15T11:58:48.001116700Z,80,248,177092,177421,producer-test-fixed,0,23,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,25,2026-07-15T11:58:47.823471800Z,2026-07-15T11:58:47.824450600Z,2026-07-15T11:58:47.824450600Z,2026-07-15T11:58:48.001116700Z,77,281,176726,177085,producer-test-fixed,0,24,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,26,2026-07-15T11:58:47.824450600Z,2026-07-15T11:58:47.824450600Z,2026-07-15T11:58:47.824450600Z,2026-07-15T11:58:48.001116700Z,81,400,176197,176678,producer-test-fixed,0,25,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,27,2026-07-15T11:58:47.824450600Z,2026-07-15T11:58:47.825439800Z,2026-07-15T11:58:47.825439800Z,2026-07-15T11:58:48.001116700Z,165,322,175699,176187,producer-test-fixed,0,26,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,28,2026-07-15T11:58:47.825439800Z,2026-07-15T11:58:47.825439800Z,2026-07-15T11:58:47.825439800Z,2026-07-15T11:58:48.001116700Z,86,283,175324,175693,producer-test-fixed,0,27,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,29,2026-07-15T11:58:47.825439800Z,2026-07-15T11:58:47.825439800Z,2026-07-15T11:58:47.826439100Z,2026-07-15T11:58:48.001116700Z,79,278,174962,175320,producer-test-fixed,0,28,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,30,2026-07-15T11:58:47.826439100Z,2026-07-15T11:58:47.826439100Z,2026-07-15T11:58:47.826439100Z,2026-07-15T11:58:48.012560Z,80,284,185771,186136,producer-test-fixed,0,29,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,31,2026-07-15T11:58:47.826439100Z,2026-07-15T11:58:47.826439100Z,2026-07-15T11:58:47.826439100Z,2026-07-15T11:58:48.012560Z,94,241,185491,185826,producer-test-fixed,0,30,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,32,2026-07-15T11:58:47.826439100Z,2026-07-15T11:58:47.826439100Z,2026-07-15T11:58:47.827438800Z,2026-07-15T11:58:48.012560Z,91,301,185099,185492,producer-test-fixed,0,31,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,33,2026-07-15T11:58:47.827438800Z,2026-07-15T11:58:47.827438800Z,2026-07-15T11:58:47.827438800Z,2026-07-15T11:58:48.012560Z,79,210,184813,185103,producer-test-fixed,0,32,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,34,2026-07-15T11:58:47.827438800Z,2026-07-15T11:58:47.827438800Z,2026-07-15T11:58:47.827438800Z,2026-07-15T11:58:48.012560Z,77,200,184570,184848,producer-test-fixed,0,33,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,35,2026-07-15T11:58:47.827438800Z,2026-07-15T11:58:47.827438800Z,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:48.012560Z,101,276,184194,184571,producer-test-fixed,0,34,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,36,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:48.012560Z,77,194,183921,184192,producer-test-fixed,0,35,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,37,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:48.012560Z,71,157,183692,183921,producer-test-fixed,0,36,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,38,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:48.012560Z,67,157,183469,183695,producer-test-fixed,0,37,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,39,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:48.012560Z,127,213,183129,183470,producer-test-fixed,0,38,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,40,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:47.828438400Z,2026-07-15T11:58:47.829951800Z,2026-07-15T11:58:48.012560Z,76,215,182836,183128,producer-test-fixed,0,39,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,41,2026-07-15T11:58:47.829951800Z,2026-07-15T11:58:47.829951800Z,2026-07-15T11:58:47.829951800Z,2026-07-15T11:58:48.012560Z,71,195,182569,182836,producer-test-fixed,0,40,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,42,2026-07-15T11:58:47.829951800Z,2026-07-15T11:58:47.829951800Z,2026-07-15T11:58:47.829951800Z,2026-07-15T11:58:48.012560Z,69,238,182249,182557,producer-test-fixed,0,41,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,43,2026-07-15T11:58:47.829951800Z,2026-07-15T11:58:47.829951800Z,2026-07-15T11:58:47.830967900Z,2026-07-15T11:58:48.016912500Z,80,345,186114,186540,producer-test-fixed,0,42,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,44,2026-07-15T11:58:47.830967900Z,2026-07-15T11:58:47.830967900Z,2026-07-15T11:58:47.830967900Z,2026-07-15T11:58:48.016912500Z,128,353,185655,186137,producer-test-fixed,0,43,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,45,2026-07-15T11:58:47.830967900Z,2026-07-15T11:58:47.830967900Z,2026-07-15T11:58:47.831968600Z,2026-07-15T11:58:48.016912500Z,78,526,185043,185648,producer-test-fixed,0,44,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,46,2026-07-15T11:58:47.831968600Z,2026-07-15T11:58:47.831968600Z,2026-07-15T11:58:47.831968600Z,2026-07-15T11:58:48.016912500Z,127,344,184555,185027,producer-test-fixed,0,45,2,1024,none,true,,
d229b39c-0397-4fa8-be4a-3f4b635ce534,47,2026-07-15T11:58:47.831968600Z,2026-07-15T11:58:47.831968600Z,2026-07-15T11:58:47.832969400Z,2026-07-15T11:58:48.016912500Z,81,328,184143,184553,producer-test-fixed,0,46,2,1024,none,true,,
