run_id,sequence_number,created_at,send_started_at,send_returned_at,acknowledgement_at,creation_to_send_us,send_call_us,acknowledgement_us,total_us,topic,partition,offset,key_size,payload_size,compression_type,success,error_class,error_message
8e1604b5-8d26-40a7-8142-2c18c35477c6,1,2026-07-15T12:02:06.650713800Z,2026-07-15T12:02:06.650713800Z,2026-07-15T12:02:07.369480900Z,2026-07-15T12:02:07.433401300Z,282,716113,63713,780109,producer-test-fixed,0,10000,1,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,2,2026-07-15T12:02:07.370483700Z,2026-07-15T12:02:07.370483700Z,2026-07-15T12:02:07.370483700Z,2026-07-15T12:02:07.436184Z,173,352,65091,65616,producer-test-fixed,0,10001,1,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,3,2026-07-15T12:02:07.370483700Z,2026-07-15T12:02:07.370483700Z,2026-07-15T12:02:07.371483900Z,2026-07-15T12:02:07.436184Z,193,755,64173,65122,producer-test-fixed,0,10002,1,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,4,2026-07-15T12:02:07.371483900Z,2026-07-15T12:02:07.372252900Z,2026-07-15T12:02:07.372252900Z,2026-07-15T12:02:07.436184Z,156,506,63504,64167,producer-test-fixed,0,10003,1,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,5,2026-07-15T12:02:07.372252900Z,2026-07-15T12:02:07.372252900Z,2026-07-15T12:02:07.372252900Z,2026-07-15T12:02:07.436184Z,243,536,62720,63499,producer-test-fixed,0,10004,1,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,6,2026-07-15T12:02:07.372252900Z,2026-07-15T12:02:07.372252900Z,2026-07-15T12:02:07.374926Z,2026-07-15T12:02:07.436184Z,88,1399,61243,62732,producer-test-fixed,0,10005,1,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,7,2026-07-15T12:02:07.374926Z,2026-07-15T12:02:07.374926Z,2026-07-15T12:02:07.375619500Z,2026-07-15T12:02:07.436184Z,131,539,60564,61234,producer-test-fixed,0,10006,1,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,8,2026-07-15T12:02:07.375619500Z,2026-07-15T12:02:07.375619500Z,2026-07-15T12:02:07.376142200Z,2026-07-15T12:02:07.436184Z,87,364,60107,60559,producer-test-fixed,0,10007,1,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,9,2026-07-15T12:02:07.376142200Z,2026-07-15T12:02:07.376142200Z,2026-07-15T12:02:07.376737100Z,2026-07-15T12:02:07.436184Z,157,646,59301,60104,producer-test-fixed,0,10008,1,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,10,2026-07-15T12:02:07.376737100Z,2026-07-15T12:02:07.376737100Z,2026-07-15T12:02:07.377316100Z,2026-07-15T12:02:07.436184Z,90,445,58749,59285,producer-test-fixed,0,10009,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,11,2026-07-15T12:02:07.377316100Z,2026-07-15T12:02:07.377316100Z,2026-07-15T12:02:07.377862600Z,2026-07-15T12:02:07.436184Z,89,436,58215,58741,producer-test-fixed,0,10010,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,12,2026-07-15T12:02:07.377862600Z,2026-07-15T12:02:07.377862600Z,2026-07-15T12:02:07.378451500Z,2026-07-15T12:02:07.436184Z,87,309,57811,58209,producer-test-fixed,0,10011,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,13,2026-07-15T12:02:07.378451500Z,2026-07-15T12:02:07.378451500Z,2026-07-15T12:02:07.378451500Z,2026-07-15T12:02:07.436184Z,64,262,57479,57806,producer-test-fixed,0,10012,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,14,2026-07-15T12:02:07.378451500Z,2026-07-15T12:02:07.378451500Z,2026-07-15T12:02:07.379397900Z,2026-07-15T12:02:07.438131900Z,58,397,59066,59522,producer-test-fixed,0,10013,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,15,2026-07-15T12:02:07.379397900Z,2026-07-15T12:02:07.379397900Z,2026-07-15T12:02:07.379988400Z,2026-07-15T12:02:07.438131900Z,131,450,58505,59087,producer-test-fixed,0,10014,2,1024,none,true,,
