run_id,sequence_number,created_at,send_started_at,send_returned_at,acknowledgement_at,creation_to_send_us,send_call_us,acknowledgement_us,total_us,topic,partition,offset,key_size,payload_size,compression_type,success,error_class,error_message
ab74012e-5bab-41ad-917b-663d99e2d92d,1,2026-07-15T12:08:00.778702700Z,2026-07-15T12:08:00.788545700Z,2026-07-15T12:08:01.470676200Z,2026-07-15T12:08:01.541870700Z,5379,683451,69975,758806,producer-test-variable,0,0,1,218242,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,2,2026-07-15T12:08:01.472820900Z,2026-07-15T12:08:01.474849800Z,2026-07-15T12:08:01.480827800Z,2026-07-15T12:08:01.583085300Z,3334,5108,101905,110348,producer-test-variable,0,1,1,211724,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,3,2026-07-15T12:08:01.480827800Z,2026-07-15T12:08:01.480827800Z,2026-07-15T12:08:01.480827800Z,2026-07-15T12:08:01.594709300Z,2237,709,110548,113495,producer-test-variable,0,2,1,276453,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,4,2026-07-15T12:08:01.480827800Z,2026-07-15T12:08:01.486328600Z,2026-07-15T12:08:01.487360100Z,2026-07-15T12:08:01.612721300Z,2002,1620,124713,128336,producer-test-variable,0,3,1,458296,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,5,2026-07-15T12:08:01.487360100Z,2026-07-15T12:08:01.489558100Z,2026-07-15T12:08:01.489558100Z,2026-07-15T12:08:01.630319100Z,1913,938,139476,142328,producer-test-variable,0,4,1,609939,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,6,2026-07-15T12:08:01.489558100Z,2026-07-15T12:08:01.497262900Z,2026-07-15T12:08:01.497262900Z,2026-07-15T12:08:01.669137900Z,7317,1229,170158,178705,producer-test-variable,0,5,1,1016410,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,7,2026-07-15T12:08:01.497262900Z,2026-07-15T12:08:01.497262900Z,2026-07-15T12:08:01.497262900Z,2026-07-15T12:08:01.671433700Z,112,485,171753,172352,producer-test-variable,0,6,1,27031,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,8,2026-07-15T12:08:01.497262900Z,2026-07-15T12:08:01.497262900Z,2026-07-15T12:08:01.503014800Z,2026-07-15T12:08:01.700211700Z,2353,2123,195550,200027,producer-test-variable,0,7,1,998693,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,9,2026-07-15T12:08:01.503014800Z,2026-07-15T12:08:01.507028200Z,2026-07-15T12:08:01.508386600Z,2026-07-15T12:08:01.743463900Z,2541,1775,234452,238770,producer-test-variable,0,8,1,691312,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,10,2026-07-15T12:08:01.508386600Z,2026-07-15T12:08:01.511957200Z,2026-07-15T12:08:01.513166400Z,2026-07-15T12:08:01.756848Z,3315,1305,243492,248113,producer-test-variable,0,9,2,866251,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,11,2026-07-15T12:08:01.513166400Z,2026-07-15T12:08:01.517058800Z,2026-07-15T12:08:01.518205300Z,2026-07-15T12:08:01.777832200Z,3663,1166,259485,264316,producer-test-variable,0,10,2,1006274,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,12,2026-07-15T12:08:01.518205300Z,2026-07-15T12:08:01.520808100Z,2026-07-15T12:08:01.522646700Z,2026-07-15T12:08:01.796930500Z,2731,1342,274682,278756,producer-test-variable,0,11,2,643745,none,true,,
ab74012e-5bab-41ad-917b-663d99e2d92d,13,2026-07-15T12:08:01.522646700Z,2026-07-15T12:08:01.524383700Z,2026-07-15T12:08:01.525501900Z,2026-07-15T12:08:01.809035900Z,2034,852,283898,286784,producer-test-variable,0,12,2,794902,none,true,,
