run_id,sequence_number,created_at,send_started_at,send_returned_at,acknowledgement_at,creation_to_send_us,send_call_us,acknowledgement_us,total_us,topic,partition,offset,key_size,payload_size,compression_type,success,error_class,error_message
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,1,2026-07-15T12:10:41.171038400Z,2026-07-15T12:10:41.177939800Z,2026-07-15T12:10:42.057738800Z,2026-07-15T12:10:42.146645300Z,6859,882731,85845,975436,producer-test-variable,0,6094,1,218242,none,true,,
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,2,2026-07-15T12:10:42.057738800Z,2026-07-15T12:10:42.057738800Z,2026-07-15T12:10:42.063772500Z,2026-07-15T12:10:42.150598Z,962,954,86832,88748,producer-test-variable,0,6095,1,211724,none,true,,
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,3,2026-07-15T12:10:42.063772500Z,2026-07-15T12:10:42.066510900Z,2026-07-15T12:10:42.067087Z,2026-07-15T12:10:42.154890900Z,2787,434,88319,91542,producer-test-variable,0,6096,1,276453,none,true,,
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,4,2026-07-15T12:10:42.067087Z,2026-07-15T12:10:42.069927900Z,2026-07-15T12:10:42.070556600Z,2026-07-15T12:10:42.174288900Z,2868,668,104156,107693,producer-test-variable,0,6097,1,458296,none,true,,
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,5,2026-07-15T12:10:42.070556600Z,2026-07-15T12:10:42.072321700Z,2026-07-15T12:10:42.074040400Z,2026-07-15T12:10:42.201155100Z,2084,1320,127118,130523,producer-test-variable,0,6098,1,609939,none,true,,
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,6,2026-07-15T12:10:42.074040400Z,2026-07-15T12:10:42.077106100Z,2026-07-15T12:10:42.077106100Z,2026-07-15T12:10:42.272112900Z,3200,911,194863,198975,producer-test-variable,0,6099,1,1016410,none,true,,
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,7,2026-07-15T12:10:42.077106100Z,2026-07-15T12:10:42.077106100Z,2026-07-15T12:10:42.083681300Z,2026-07-15T12:10:42.277097600Z,77,5776,193723,199576,producer-test-variable,0,6100,1,27031,none,true,,
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,8,2026-07-15T12:10:42.083681300Z,2026-07-15T12:10:42.092326300Z,2026-07-15T12:10:42.092326300Z,2026-07-15T12:10:42.303886Z,9297,751,210202,220252,producer-test-variable,0,6101,1,998693,none,true,,
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,9,2026-07-15T12:10:42.092326300Z,2026-07-15T12:10:42.094730500Z,2026-07-15T12:10:42.094730500Z,2026-07-15T12:10:42.324603600Z,1709,669,228262,230641,producer-test-variable,0,6102,1,691312,none,true,,
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,10,2026-07-15T12:10:42.094730500Z,2026-07-15T12:10:42.096740700Z,2026-07-15T12:10:42.096740700Z,2026-07-15T12:10:42.362896600Z,2114,617,263873,266606,producer-test-variable,0,6103,2,866251,none,true,,
a87d87c5-ada7-43e3-95cf-8d6eb6c03c83,11,2026-07-15T12:10:42.096740700Z,2026-07-15T12:10:42.102505600Z,2026-07-15T12:10:42.103612Z,2026-07-15T12:10:42.392892100Z,3587,935,289145,293669,producer-test-variable,0,6104,2,1006274,none,true,,
