run_id,sequence_number,created_at,send_started_at,send_returned_at,acknowledgement_at,creation_to_send_us,send_call_us,acknowledgement_us,total_us,topic,partition,offset,key_size,payload_size,compression_type,success,error_class,error_message
3b87b12a-195c-4bf1-9a72-099c217fc01d,1,2026-07-15T12:14:29.758667700Z,2026-07-15T12:14:29.763971Z,2026-07-15T12:14:30.527251800Z,2026-07-15T12:14:30.601267600Z,7200,760899,73887,841986,producer-test-variable,0,12188,1,218242,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,2,2026-07-15T12:14:30.528278600Z,2026-07-15T12:14:30.528278600Z,2026-07-15T12:14:30.530486700Z,2026-07-15T12:14:30.612993500Z,1404,927,82342,84675,producer-test-variable,0,12189,1,211724,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,3,2026-07-15T12:14:30.531066900Z,2026-07-15T12:14:30.532497500Z,2026-07-15T12:14:30.533014800Z,2026-07-15T12:14:30.622104600Z,1723,612,89137,91472,producer-test-variable,0,12190,1,276453,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,4,2026-07-15T12:14:30.533014800Z,2026-07-15T12:14:30.534746100Z,2026-07-15T12:14:30.535232600Z,2026-07-15T12:14:30.632627Z,1367,630,97324,99322,producer-test-variable,0,12191,1,458296,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,5,2026-07-15T12:14:30.535232600Z,2026-07-15T12:14:30.537281100Z,2026-07-15T12:14:30.537836400Z,2026-07-15T12:14:30.650661700Z,1857,640,113038,115537,producer-test-variable,0,12192,1,609939,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,6,2026-07-15T12:14:30.537836400Z,2026-07-15T12:14:30.540106300Z,2026-07-15T12:14:30.546681500Z,2026-07-15T12:14:30.688516900Z,2514,6870,141549,150934,producer-test-variable,0,12193,1,1016410,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,7,2026-07-15T12:14:30.546681500Z,2026-07-15T12:14:30.547412600Z,2026-07-15T12:14:30.553019Z,2026-07-15T12:14:30.693899500Z,105,5828,141084,147018,producer-test-variable,0,12194,1,27031,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,8,2026-07-15T12:14:30.553019Z,2026-07-15T12:14:30.557051400Z,2026-07-15T12:14:30.557051400Z,2026-07-15T12:14:30.719142800Z,4699,1064,160123,165886,producer-test-variable,0,12195,1,998693,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,9,2026-07-15T12:14:30.557051400Z,2026-07-15T12:14:30.560456800Z,2026-07-15T12:14:30.561480500Z,2026-07-15T12:14:30.731314Z,2238,1282,169065,172586,producer-test-variable,0,12196,1,691312,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,10,2026-07-15T12:14:30.561480500Z,2026-07-15T12:14:30.561480500Z,2026-07-15T12:14:30.561480500Z,2026-07-15T12:14:30.750523500Z,2384,1248,184464,188097,producer-test-variable,0,12197,2,866251,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,11,2026-07-15T12:14:30.561480500Z,2026-07-15T12:14:30.567657800Z,2026-07-15T12:14:30.567657800Z,2026-07-15T12:14:30.783391400Z,3060,783,213394,217237,producer-test-variable,0,12198,2,1006274,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,12,2026-07-15T12:14:30.567657800Z,2026-07-15T12:14:30.571598700Z,2026-07-15T12:14:30.572641300Z,2026-07-15T12:14:30.795250200Z,1455,966,223005,225426,producer-test-variable,0,12199,2,643745,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,13,2026-07-15T12:14:30.572641300Z,2026-07-15T12:14:30.575006500Z,2026-07-15T12:14:30.576191400Z,2026-07-15T12:14:30.810720400Z,2665,1075,234699,238440,producer-test-variable,0,12200,2,794902,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,14,2026-07-15T12:14:30.576191400Z,2026-07-15T12:14:30.577233500Z,2026-07-15T12:14:30.578053500Z,2026-07-15T12:14:30.814988200Z,1079,1060,236405,238545,producer-test-variable,0,12201,2,197715,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,15,2026-07-15T12:14:30.578575800Z,2026-07-15T12:14:30.581161700Z,2026-07-15T12:14:30.582237Z,2026-07-15T12:14:30.822038Z,2873,871,239891,243636,producer-test-variable,0,12202,2,582887,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,16,2026-07-15T12:14:30.582237Z,2026-07-15T12:14:30.584631100Z,2026-07-15T12:14:30.585360300Z,2026-07-15T12:14:30.836392100Z,2117,1112,250691,253921,producer-test-variable,0,12203,2,590923,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,17,2026-07-15T12:14:30.585360300Z,2026-07-15T12:14:30.587768600Z,2026-07-15T12:14:30.588947500Z,2026-07-15T12:14:30.850685100Z,2492,828,261800,265120,producer-test-variable,0,12204,2,731001,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,18,2026-07-15T12:14:30.588947500Z,2026-07-15T12:14:30.589516900Z,2026-07-15T12:14:30.590068Z,2026-07-15T12:14:30.856600300Z,703,381,266748,267832,producer-test-variable,0,12205,2,327404,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,19,2026-07-15T12:14:30.590068Z,2026-07-15T12:14:30.591176800Z,2026-07-15T12:14:30.592392700Z,2026-07-15T12:14:30.867678200Z,1369,970,275385,277725,producer-test-variable,0,12206,2,648266,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,20,2026-07-15T12:14:30.592392700Z,2026-07-15T12:14:30.592982900Z,2026-07-15T12:14:30.592982900Z,2026-07-15T12:14:30.871571900Z,402,312,278334,279049,producer-test-variable,0,12207,2,173600,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,21,2026-07-15T12:14:30.592982900Z,2026-07-15T12:14:30.595069800Z,2026-07-15T12:14:30.601267600Z,2026-07-15T12:14:30.880612900Z,1852,6924,278910,287687,producer-test-variable,0,12208,2,652074,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,22,2026-07-15T12:14:30.601267600Z,2026-07-15T12:14:30.603128600Z,2026-07-15T12:14:30.604102600Z,2026-07-15T12:14:30.896107900Z,1031,1064,292572,294668,producer-test-variable,0,12209,2,379303,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,23,2026-07-15T12:14:30.604102600Z,2026-07-15T12:14:30.604968100Z,2026-07-15T12:14:30.606087Z,2026-07-15T12:14:30.896107900Z,1035,904,291835,293775,producer-test-variable,0,12210,2,261150,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,24,2026-07-15T12:14:30.606087Z,2026-07-15T12:14:30.606087Z,2026-07-15T12:14:30.607227200Z,2026-07-15T12:14:30.898785600Z,202,850,291799,292852,producer-test-variable,0,12211,2,63606,none,true,,
3b87b12a-195c-4bf1-9a72-099c217fc01d,25,2026-07-15T12:14:30.607227200Z,2026-07-15T12:14:30.607746200Z,2026-07-15T12:14:30.608402200Z,2026-07-15T12:14:30.900308700Z,368,721,291908,292998,producer-test-variable,0,12212,2,89454,none,true,,
