run_id,sequence_number,created_at,send_started_at,send_returned_at,acknowledgement_at,creation_to_send_us,send_call_us,acknowledgement_us,total_us,topic,partition,offset,key_size,payload_size,compression_type,success,error_class,error_message
226f6322-0708-4343-b09f-69e8ba941954,1,2026-07-15T15:50:03.953847900Z,2026-07-15T15:50:03.953847900Z,2026-07-15T15:50:04.017283600Z,2026-07-15T15:50:04.076219600Z,333,63557,58560,122452,producer-test-fixed,0,0,1,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,2,2026-07-15T15:50:04.018282200Z,2026-07-15T15:50:04.018282200Z,2026-07-15T15:50:04.022285Z,2026-07-15T15:50:04.080897700Z,210,3854,58959,63023,producer-test-fixed,2,0,1,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,3,2026-07-15T15:50:04.022285Z,2026-07-15T15:50:04.022285Z,2026-07-15T15:50:04.023282600Z,2026-07-15T15:50:04.081488600Z,126,1039,57882,59048,producer-test-fixed,2,1,1,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,9,2026-07-15T15:50:04.025282600Z,2026-07-15T15:50:04.025282600Z,2026-07-15T15:50:04.025282600Z,2026-07-15T15:50:04.081488600Z,78,273,55719,56071,producer-test-fixed,2,2,1,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,16,2026-07-15T15:50:04.027286600Z,2026-07-15T15:50:04.027286600Z,2026-07-15T15:50:04.027286600Z,2026-07-15T15:50:04.081488600Z,74,297,53676,54049,producer-test-fixed,2,3,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,29,2026-07-15T15:50:04.032281Z,2026-07-15T15:50:04.032281Z,2026-07-15T15:50:04.032281Z,2026-07-15T15:50:04.081488600Z,65,210,49375,49650,producer-test-fixed,2,4,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,32,2026-07-15T15:50:04.032281Z,2026-07-15T15:50:04.032281Z,2026-07-15T15:50:04.033280400Z,2026-07-15T15:50:04.082087Z,67,163,48744,48974,producer-test-fixed,2,5,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,36,2026-07-15T15:50:04.033280400Z,2026-07-15T15:50:04.034285900Z,2026-07-15T15:50:04.034285900Z,2026-07-15T15:50:04.082087Z,93,199,47608,47901,producer-test-fixed,2,6,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,40,2026-07-15T15:50:04.035286300Z,2026-07-15T15:50:04.035286300Z,2026-07-15T15:50:04.035286300Z,2026-07-15T15:50:04.082087Z,86,213,46525,46826,producer-test-fixed,2,7,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,41,2026-07-15T15:50:04.035286300Z,2026-07-15T15:50:04.035286300Z,2026-07-15T15:50:04.035286300Z,2026-07-15T15:50:04.082087Z,65,224,46237,46527,producer-test-fixed,2,8,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,49,2026-07-15T15:50:04.038282800Z,2026-07-15T15:50:04.038282800Z,2026-07-15T15:50:04.038282800Z,2026-07-15T15:50:04.082087Z,70,129,43576,43777,producer-test-fixed,2,9,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,50,2026-07-15T15:50:04.038282800Z,2026-07-15T15:50:04.038282800Z,2026-07-15T15:50:04.038282800Z,2026-07-15T15:50:04.082087Z,65,122,43393,43581,producer-test-fixed,2,10,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,57,2026-07-15T15:50:04.039281Z,2026-07-15T15:50:04.040284700Z,2026-07-15T15:50:04.040284700Z,2026-07-15T15:50:04.082087Z,92,125,41823,42041,producer-test-fixed,2,11,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,69,2026-07-15T15:50:04.047303500Z,2026-07-15T15:50:04.047303500Z,2026-07-15T15:50:04.047303500Z,2026-07-15T15:50:04.082087Z,12,129,34713,34856,producer-test-fixed,2,12,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,4,2026-07-15T15:50:04.023282600Z,2026-07-15T15:50:04.023282600Z,2026-07-15T15:50:04.023282600Z,2026-07-15T15:50:04.082087Z,95,394,58479,58969,producer-test-fixed,1,0,1,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,6,2026-07-15T15:50:04.024282300Z,2026-07-15T15:50:04.024282300Z,2026-07-15T15:50:04.024282300Z,2026-07-15T15:50:04.082087Z,86,231,57777,58095,producer-test-fixed,1,1,1,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,10,2026-07-15T15:50:04.025282600Z,2026-07-15T15:50:04.025282600Z,2026-07-15T15:50:04.025282600Z,2026-07-15T15:50:04.082784700Z,74,222,56510,56807,producer-test-fixed,1,2,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,12,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.082784700Z,53,208,56012,56274,producer-test-fixed,1,3,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,13,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.082784700Z,73,234,55762,56070,producer-test-fixed,1,4,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,14,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.027286600Z,2026-07-15T15:50:04.082784700Z,73,315,55412,55801,producer-test-fixed,1,5,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,18,2026-07-15T15:50:04.028283Z,2026-07-15T15:50:04.028283Z,2026-07-15T15:50:04.028283Z,2026-07-15T15:50:04.082784700Z,110,314,54021,54445,producer-test-fixed,1,6,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,19,2026-07-15T15:50:04.028283Z,2026-07-15T15:50:04.028283Z,2026-07-15T15:50:04.028283Z,2026-07-15T15:50:04.082784700Z,81,192,53747,54020,producer-test-fixed,1,7,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,20,2026-07-15T15:50:04.028283Z,2026-07-15T15:50:04.029283600Z,2026-07-15T15:50:04.029283600Z,2026-07-15T15:50:04.082784700Z,65,140,53542,53748,producer-test-fixed,1,8,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,24,2026-07-15T15:50:04.030281900Z,2026-07-15T15:50:04.030281900Z,2026-07-15T15:50:04.030281900Z,2026-07-15T15:50:04.082784700Z,72,291,52212,52576,producer-test-fixed,1,9,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,26,2026-07-15T15:50:04.030281900Z,2026-07-15T15:50:04.031280600Z,2026-07-15T15:50:04.031280600Z,2026-07-15T15:50:04.082784700Z,84,271,51370,51726,producer-test-fixed,1,10,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,31,2026-07-15T15:50:04.032281Z,2026-07-15T15:50:04.032281Z,2026-07-15T15:50:04.032281Z,2026-07-15T15:50:04.082784700Z,53,163,49868,50085,producer-test-fixed,1,11,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,35,2026-07-15T15:50:04.033280400Z,2026-07-15T15:50:04.033280400Z,2026-07-15T15:50:04.033280400Z,2026-07-15T15:50:04.082784700Z,64,240,48785,49089,producer-test-fixed,1,12,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,5,2026-07-15T15:50:04.023282600Z,2026-07-15T15:50:04.023282600Z,2026-07-15T15:50:04.024282300Z,2026-07-15T15:50:04.082784700Z,76,408,58555,59039,producer-test-fixed,0,1,1,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,7,2026-07-15T15:50:04.024282300Z,2026-07-15T15:50:04.024282300Z,2026-07-15T15:50:04.025282600Z,2026-07-15T15:50:04.082784700Z,73,217,57951,58243,producer-test-fixed,0,2,1,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,8,2026-07-15T15:50:04.025282600Z,2026-07-15T15:50:04.025282600Z,2026-07-15T15:50:04.025282600Z,2026-07-15T15:50:04.082784700Z,101,219,57633,57954,producer-test-fixed,0,3,1,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,11,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.026285300Z,2026-07-15T15:50:04.082784700Z,67,166,56730,56964,producer-test-fixed,0,4,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,15,2026-07-15T15:50:04.027286600Z,2026-07-15T15:50:04.027286600Z,2026-07-15T15:50:04.027286600Z,2026-07-15T15:50:04.082784700Z,77,221,55444,55743,producer-test-fixed,0,5,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,17,2026-07-15T15:50:04.027286600Z,2026-07-15T15:50:04.028283Z,2026-07-15T15:50:04.028283Z,2026-07-15T15:50:04.082784700Z,81,196,54788,55066,producer-test-fixed,0,6,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,21,2026-07-15T15:50:04.029283600Z,2026-07-15T15:50:04.029283600Z,2026-07-15T15:50:04.029283600Z,2026-07-15T15:50:04.082784700Z,96,229,53533,53859,producer-test-fixed,0,7,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,22,2026-07-15T15:50:04.029283600Z,2026-07-15T15:50:04.029283600Z,2026-07-15T15:50:04.029283600Z,2026-07-15T15:50:04.082784700Z,156,237,53139,53533,producer-test-fixed,0,8,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,23,2026-07-15T15:50:04.029283600Z,2026-07-15T15:50:04.029283600Z,2026-07-15T15:50:04.030281900Z,2026-07-15T15:50:04.082784700Z,53,173,52913,53140,producer-test-fixed,0,9,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,25,2026-07-15T15:50:04.030281900Z,2026-07-15T15:50:04.030281900Z,2026-07-15T15:50:04.030281900Z,2026-07-15T15:50:04.082784700Z,115,343,52065,52524,producer-test-fixed,0,10,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,27,2026-07-15T15:50:04.031280600Z,2026-07-15T15:50:04.031280600Z,2026-07-15T15:50:04.031280600Z,2026-07-15T15:50:04.083383100Z,113,261,51434,51809,producer-test-fixed,0,11,2,1024,none,true,,
226f6322-0708-4343-b09f-69e8ba941954,28,2026-07-15T15:50:04.031280600Z,2026-07-15T15:50:04.031280600Z,2026-07-15T15:50:04.032281Z,2026-07-15T15:50:04.083383100Z,104,259,51071,51435,producer-test-fixed,0,12,2,1024,none,true,,
